artist,loved_count,mediaid,posted_count,sitename,time,title,loved
"Steve Aoki, Diplo & Deorro",4286,236tz,6,Dancing Astronaut,281,Freak (feat. Steve Bays),False
JUNGLE,6508,22m26,70,Abeano Music,180,Busy Earnin',False
THE NIGHT VI,3982,236d7,44,DrunkenWerewolf,225,Sienna,False
Haim,3808,236m2,15,the burning ear,359,If I Could Change Your Mind (The Knocks Remix),False
London Grammar,4814,23781,34,Twee Huizen Verder,346,Hey Now (Bonobo Remix),False
TOURIST,15791,22ejp,41,REDEFINE magazine,271,I Can't Keep Up (feat. Will Heard),False
SAFIA,9735,236kx,28,Site of Sound,266,"Paranoia, Ghosts & Other Sounds",False
Lykke Li,13522,2374v,45,Cougar Microbes,221,No Rest For The Wicked,False
Porter Robinson,7461,236gd,23,JayeL Audio Music,368,Sea Of Voices (RAC Mix),False
Ewok Fur,594,1ks44,3,guerolitomusic,161,moving to antarctica sounds quite ok,False
Flux Pavilion,1466,1krp8,7,Salacious Sound,317,Daydreamer feat. Example (Jack Beats Remix),False
Zella Day,3468,236fk,32,West Coast Fix,222,1965,False
D.VELOPED,6332,1f3cm,5,Sunset in the Rearview,261,My Dangerously Melodic Anthem,False
EMBRZ,9766,1z1vr,14,nialler9,322,Make Your Way,False
Edward Sharpe and the Magnetic Zeros,2544,205f7,10,The New LoFi,355,Life Is Hard (Teen Daze Remix),False
Eminem,5796,207bj,3,Earbuddy,265,Beautiful Pain feat. Sia,False
Josef Salvat,6550,204ky,28,josh is listening to,223,Every Night,False
Common,4975,2055a,19,The 405,230,I Want You (Kaytranada Edition),False
Yuna,3099,205p1,2,Earbuddy,214,Lights And Camera,False
Drake,9942,205dd,42,House of Lords,221,Come Thru (James Blake Version),False
Childish Gambino,3202,1kzn8,8,CHROMEMUSIC,141,Fuck Your Blog (feat. Flynt Flossy & Yung Humma),False
No Doubt,631,1ksgh,2,Inyourspeakers Media,264,Don't Speak,False
Project 46,1172,1ktar,3,aerial noise,316,The Rift (Original Mix),False
Kindness,3801,1k8g5,44,Genre Confused,217,House,False
Active Child,1934,1kqq6,16,Indiehere,183,Hanging On (GRVRBBRS Remix),False
Goldroom,12117,1m044,62,Buzzbands.LA,300,Fifteen (ft Chela),False
The Knocks,5152,1kzak,26,JayeL Audio Music,324,Learn To Fly,False
Mashup-Germany,7746,1g7r0,7,Silence Nogood,245,Top of the Pops 2011 (What The Fuck),False
Arion Dubstep,2111,1g5vx,1,Penned Madness,228,I'm Coming Home ( Diddy feat. Skylar Grey),False
Mike Posner,4523,1g53y,8,Pick Up The Headphones,204,Looks Like Sex,False
Swedish House Mafia,8061,1jphx,4,EARMILK,411,Greyhound (Original Mix),False
Gym Class Heroes feat. Neon Hitch,4985,1gh6m,3,the burning ear,316,Ass Back Home (Black Cards Remix),False
Birdy,6781,1fz31,13,The Morning After,309,1901 (Phoenix Cover),False
XV,1941,1ks0q,2,Et Musique Pour Tous,290,Pictures On My Wall,False
The Wanted,1080,1ks63,1,POP ON AND ON,342,Chasing The Sun (Mario Larrea Club Mix),False
Lana Del Rey,2117,1kr6z,25,Cougar Microbes,224,Blue Jeans feat. Azealia Banks (Smims&Belle Extended Remix),False
Viceroy & WhiteNoize,2495,1kt18,10,Silence Nogood,332,Only Takes (Original Mix),False
Florence and the Machine,1132,1ksjr,1,Free Breaks Blog,307,You Got The Love (The Bॐb Squad Breaks Mix),False
Kids These Days,1803,1ksca,3,Simply 7,221,Darling,False
Deadmau5,6927,1d055,4,Your Music Radar,285,Double Life Of Mau5e (Skrillex Mix),False
Ramona Falls,1740,1ksb9,3,The Music Ninja,220,Proof,False
Throttle,1580,1ks3x,4,REMIX86,300,Next Big Thing (Original Mix),False
Joel Zimmerman,2413,1krb0,5,Your Music Radar,431,Closer Rev.2,False
Summer Heart,1908,1ks5c,1,Hilly Dilly,246,I Wanted You To Stay On the Other (Side),False
Bob Marley,4202,1ks6g,2,The Music Ninja,306,Sun Is Shining (Smoke Out Dubstep Remix),False
Greg Laswell,2386,1ks5y,1,POP ON AND ON,228,Come Back Down (feat. Sara Bareilles),False
Foster the People,3214,1kr1b,14,All Things Go,366,Don't Stop (Oliver Remix),False
Amadou & Mariam,3040,1kbzc,6,the steely stylus,312,Je pense a toi,False
Felix Cartal,11522,1ksas,10,Chubby Beavers,201,Tonight (Original Mix) (feat. Maja Ivarsson from The Sounds),False
Hoodie Allen,10902,1kbc4,6,This Bonus Track,201,No Faith In Brooklyn (Feat. Jhameel),False
Avicii feat. Salem Al Fakir,5859,1kbcn,3,EARMILK,392,Silhouettes (Original Vocal Mix),False
"Avicii,David Guetta,Special Features,Max'C,Pete Sweat",3638,1fg49,2,aerial noise,369,Avicii Ft Guetta - Sunshine Special Features ( Pete Sweat - I Found U In Sunshine ),False
Grouplove,9045,1f4xw,12,EARMILK,245,Colours (Xaphoon Jones Remix),False
Overnight Celebrity Thrill,4870,1f4xt,1,AudioCred,241,Wiz Khalifa feat. Twista & Kanye West,False
Jay-Z & Kanye West,3840,1f4am,10,Cougar Microbes,275,Niggas In Paris (feat. T.I.) (Remix),False
BASTILLE,15016,1fbqe,13,JayeL Audio Music,188,What Would You Do? (City High Cover),False
Neko Case,11,1bgn6,1,Town Full of Losers,125,Misfire (Queen cover),False
Townes Van Zandt,19,qdje,3,Carnival Saloon,196,To Live Is To Fly,False
Emmylou Harris,11,122mx,3,Cover Lay Down,245,Millworker (James Taylor cover),False
Southeast Engine,11,1a055,3,Music Savage,307,Adeline of the Applachian Mountains,False
J. Cole,3378,1egj6,9,Avenge the Virgins,190,Nobody's Perfect (feat. Missy Elliott),False
Justice,5520,1eahn,34,Stoney Roads,271,Helix,False
The White Panda,21801,1ebcm,14,Silence Nogood,234,Midnight Life (Kanye West vs. M83),False
YONAS,2543,1dw12,1,Sunset in the Rearview,229,I Need A Dollar,False
T-Pain,4794,1e8a9,10,One A Day,281,5 O'clock (feat. Wiz Khalifa & Lily Allen),False
Ryan Adams,6,1bdk7,1,Cover Me,639,Dead Flowers (The Rolling Stones cover),False
David Guetta & Afrojack,5873,1dp5k,5,This Bonus Track,317,Lunar (Original Mix),False
Florence + The Machine,7720,1dwev,13,blahblahblahscience,333,What The Water Gave Me,False
Caitlin Rose,14,1bxj3,4,Teenage Kicks,208,Faithless Love,False
My Morning Jacket,10,1bx5q,1,Troubled Souls Unite,313,Movin Away (5.31.11),False
Ryan Adams,6,1bdkk,1,Cover Me,78,Caribbean Queen (Billy Ocean cover),False
Ryan Adams,7,1bem2,1,Largehearted Boy,319,Head Over Heels (Tears For Fears),False
William Elliott Whitmore,9,1berk,1,captain's dead,269,shotgun,False
Jason Isbell,4,1bemj,1,Berkeley Place,382,Hey Pocky Way (The Meters),False
William Elliott Whitmore,1,1bera,1,captain's dead,100,run johnny run,False
MGMT,6394,cr02,64,Indie Rock Cafe,230,Electric Feel,True
Lykke Li,922,gywz,26,the burning ear,203,"I'm Good, I'm Gone (Black Kids Remix)",True
Beck,653,hnkf,16,Turntable Kitchen,177,Gamma Ray,True
Ladyhawke,2565,hd6m,36,JayeL Audio Music,321,Paris Is Burning (Cut Copy Remix),True
Beck,231,hs1h,10,Radio Free Chicago,195,Modern Guilt,True
MGMT,1268,tqys,21,melophobe,409,Electric Feel (Aeroplane Remix),True
Ratatat,979,gz5r,16,The New Montreal,235,Falcon Jab,True
Keedz,2160,j3d2,8,Et Musique Pour Tous,205,Stand On The Word,True
Pnau,3317,hx94,36,Bizzies,365,Embrace feat. Ladyhawke (Fred Falke & Miami Horror remix),True
Flight Facilities,9624,2bzvm,12,Abduction Radiation,199,Heart Attack feat. Owl Eyes (Snakehips Remix),True
Duke Dumont,7432,2cjkk,10,Pilerats,206,Ocean Drive,True
GRiZ feat. Talib Kweli,4390,2cprk,7,gottadancedirty,283,For the Love (Autograf Remix),True
HINDS,928,2cdrg,37,Q Magazine,192,Chili Town,True
Ginuwine,1738,2cgm0,10,WEIRD by SEAPUNKGANG,143,Pony (Rustie Rmx),True
SPORTS,331,2che5,7,Going Solo,187,The Washing Machine,True
Pure Bathing Culture,1859,2ceh0,27,Indie30,226,Pray For Rain,True
octobersveryown,8918,2chn4,26,The Quietus,172,Drake ~ Back To Back Freestyle,True
Say Lou Lou,7573,1zdn7,40,Et Musique Pour Tous,216,Feels Like We Only Go Backwards (Tame Impala Cover),True
RKCB,4413,2cdxw,15,The Burning Ear,218,Ignite,True
Saint Motel,3539,2ca8z,6,Lipstick Disco,226,Cold Cold Man (Lost Kings Remix),True
Toro y Moi,1963,2c7nh,28,The Morning After,170,Pitch Black feat. Rome Fortune,True
Kanye West vs. The Weeknd,7605,2cjj6,1,Indie Shuffle,221,Feel Stronger (Carlos Serrano Mix),True
Oh Wonder,9635,2c48m,24,ALIAT,208,Landslide,True
ILoveMakonnen,1007,2ce4z,7,Radiorgasm,155,Leave It There ( Produced By Sonny Digital ),True
Natural Animal,5090,25p2d,3,I Heart Moosiq,191,Last Night feat. Craig Stickland (Strokes Cover),True
Kaskade,8024,2cfw3,4,Never Radio,221,Disarm You feat. Ilsey,True
The White Panda,14428,25pwf,6,Casablanca Sunset,222,Cooler Than Latch (Disclosure feat. Sam Smith // Mike Posner),True
Spoon,8085,25mvj,19,Tuneage,302,Inside Out,True
Major Lazer,8610,2cdyv,34,acid stag,196,Lost feat. MØ (Frank Ocean cover),True
Cosmo's Midnight,2380,2cc12,10,The Burning Ear,254,Walk With Me (feat. KUČKA),True
Rustie,3031,2cc5g,18,THUMP,186,Rustie - Big Catzz,True
Passion Pit,1747,2cb05,3,Lipstick Disco,312,Sleepyhead (Cerulean City Remix),True
Alessia Cara,10227,2cakr,9,West Coast Fix,208,Here (Lucian Remix),True
NoMBe,4788,2cca1,16,The Burning Ear,262,Miss Mirage,True
Holy Holy,1055,2c8dr,8,Turntable Kitchen,256,Sentimental And Monday,True
K-OS,4774,2c856,9,"Quick, Before It Melts.",197,Crucify,True
Hermitude,2486,2c9xp,8,Never Radio,205,The Buzz feat. Mataya & Young Tapz (Sweater Beats Remix),True
Modjo,5718,1rf0g,18,Never Radio,283,Lady (Kaytranada Remix),True
Drake,3172,2c9sz,9,nah right,282,Know Yourself (Jacques Greene intro edit),True
Ratatat,7226,2bwhp,12,The Wandering Lamb,254,Abrasive,True
Billy Bragg & Wilco,1101,30xf,27,Across The Kitchen Table,298,California Stars,True
Real Estate,1076,21rvk,38,Fuzzy Logic,192,Talking Backwards,True
Father John Misty,1519,27msa,46,barrygruff,262,Bored In The USA,True
The Knocks,8683,2654z,11,Site of Sound,262,Classic (RAC Mix),True
Cheers Elephant,5755,2bfxf,11,Noonday Tune,212,Airliner,True
Cayucas,758,2b1kk,28,blahblahblahscience,218,Moony Eyed Walrus,True
Ducktails,1428,2b5et,32,The Wandering Lamb,214,Headbanging In The Mirror,True
Hibou,2128,2bmqa,25,blahblahblahscience,259,Dissolve,True
The Knocks,13752,15sj5,41,SFCritic,239,Dancing With The Dj,True
The Knocks,1962,2bamw,11,EDM Girl,327,Classic (Pat Lok Shymix),True
cln,1766,2c73k,10,Queen Beetch,210,Found,True
Tame Impala,14041,2a1mf,94,barrygruff,469,Let It Happen,True
Fareoh,3613,2c8z5,8,Music Is My Life,323,Fight For You (feat. Ethan Thompson),True
What So Not,12360,2afyr,31,No Country For New Nashville,270,Gemini feat. George Maple,True
Surfer Blood,3221,2c86x,9,The Morning After,250,'Hey Ya!',True
The Griswolds,5269,2c6am,5,Write.Click.Cook.Listen ,224,If You Wanna Stay (The Rooftop Boys Remix),True
Spada,4078,2c6eb,2,Dancing Astronaut,281,Catchfire (Sun Sun Sun) (EDX's Miami Sunset Remix),True
Avicii,8576,2c6ye,8,West Coast Fix,289,Waiting For Love (Autograf Remix),True
RATATAT,4855,2c6s7,10,We All Want Someone To Shout For,378,NIGHTCLUB AMNESIA,True
Courtney Barnett,540,29w6h,4,said the gramophone,293,Depreston,True
Dusky,626,2bznk,7,Y Este Finde Que,384,Skin Deep,True
Thundercat,5534,2by09,67,Beautiful Buzzz,187,Them Changes,True
Toro y Moi,1137,2c1d3,23,acid stag,189,2Late feat. Kool A.D. and SAFE,True
Misun,2885,27bhr,35,Substance is meaningless ,166,Superstitions,True
FETTY WAP,1692,2c41v,8,Abouttoblow,263,D.A.M DATS ALL ME,True
Robyn,3106,2c3ac,6,Dancing Astronaut,271,Dancing On My Own (Templeton Remix),True
Klyne,6472,2c09d,26,Silver Soundz,187,Paralyzed,True
Crooked Colours,5650,2bt0t,7,Wonky Sensitive,229,Electric Feel (MGMT Cover),True
Jack Garratt,5312,2c3mc,29,ravechild,225,Weathered,True
Alesso,4135,2c389,4,stereogum,191,This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) (Radio Edit),True
Tame Impala,4786,23383,55,Silence Nogood,274,Stranger In Moscow(( MJ cover)),True
Gallant,8137,2c3pf,38,UNCANNY,204,Weight In Gold,True
Major Lazer,10180,227j1,23,Maddecent,182,Aerosol Can (feat. Pharrell Williams),True
The Knocks,22029,25xk6,27,SFCritic,249,Classic (feat. Powers),True
Monster Rally,329,247x6,2,music islands,219,Chin-don-ya,True
Lana Del Rey,4544,2b5c3,3,Oh My Rock,277,Born To Die (Absence Remix),True
Sia,7230,2bbc8,3,Your Music Radar,216,California Dreamin,True
OutKast,5070,2b6yd,3,Your Music Radar,194,Roses (PLS&TY Remix),True
TEEMID & Daniela Andrade,9495,226ye,8,I Heart Moosiq,263,Crave You (Flight Facilities Cover),True
Miguel,15861,228mk,23,Site of Sound,205,Simplethings,True
Young Jeezy,1653,1fz16,8,AudioCred,312,I Do (Featuring Jay-Z & Andre 3000 ) (No Tags),True
Saukrates,1879,1fg3p,2,The Music Ninja,170,Say I,True
Wale,4939,1ffz9,5,EARMILK,302,Ambition (feat. Meek Mill & Rick Ross),True
LIPS,6409,1ffe4,10,EARMILK,244,Everything To Me (Adventure Club Dubstep Remix),True
Charlotte Gainsbourg,1236,1g6nk,5,Faded Glamour,229,Out Of Touch,True
the horrible crowes,1853,1g64b,1,The New LoFi,291,sugar,True
Lupe Fiasco,2520,1g5hj,1,blahblahblahscience,406,"Super Cold (Raak Remix) (Feat. Ab-Liva, Asaad & Gilbere Forte)",True
Odjbox,4510,1g60h,1,Music For Morons,190,Birmingham,True
The Roots,4075,1f5yf,37,AudioCred,272,Make My,True
Madeon,3426,1f545,1,blahblahblahscience,104,Icarus,True
COMPNY,1625,2bzm1,25,Little Indie Blogs,233,Gently Let You Down,True
French Montana,849,2c10q,5,Discobelle,229,Gucci Mane (feat. Lil Wayne & Rick Ross) (prod. by Kanye West),True
"Kehlani, G-Eazy, IAMSU! and Lil B",2297,2bzxz,6,The Passion of the Weiss,235,Champion (Prod. by P-Lo),True
In The Valley Below,4328,1rmtg,5,Indie Shuffle,287,Peaches,True
RÜFÜS / RÜFÜS DU SOL,7746,2c1vt,19,THUMP,239,You Were Right,True
Mitski,139,26mqp,13,Music Broke My Bones,205,Townie,True
Otis Redding,413,26eye,1,Yaqui,232,Sittin On The Dock Of The Bay (TEEMID Edit),True
Crooked Colours,2856,204z0,16,music is art,215,Come Down,True
Miguel feat. Wale,13493,239bn,8,Guilty Feet Have Got No Rhythm,314,Bennie and the Jets,True
The Drums,2540,1e7j4,5,The Digital Outhouse,269,Days,True
Drake & Waka Flocka,1712,1e9hp,14,EARMILK,259,Round of Applause,True
The Internet Music,4368,2c0ae,19,Data Transmission,416,Girl feat. KAYTRANADA,True
Mapei,26063,1zm6w,50,Faded Glamour,215,Don't Wait,True
The Pharcyde,15253,205k2,19,Lautstark,290,Runnin' (Bit Funk Remix),True
Pretty Lights,4446,1m0jt,15,EARMILK,260,You Get High,True
Zeds Dead & Omar LinX,2362,1m1bd,9,White Folks Get Crunk,284,NO PRAYERS (KEYS N KRATES RMX),True
Kill Paris,4311,1ky0n,8,touchez francais,259,Keep Your Secrets in Midnight City,True
Laidback Luke,3801,1kzfe,4,EARMILK,368,1234 Feat. Chuckie & Martin Solveig (Original Mix),True
Klangkarussell,14442,1jgv0,17,The Music Ninja,360,Sonnentanz,True
Feist,788,1krzh,1,This Is That Song,281,Secret Heart,True
SkizTheRapper,693,1gght,7,The Jackplug,215,Shangri-La,True
Ke$ha,1211,1gff0,9,Minneapolis Fucking Rocks,293,"Sleazy Remix 2.0 - Get Sleazier (feat. Lil Wayne, Wiz Khalifa, T.I. & André 3000)",True
Camo & Krooked,1964,1espe,3,AudioCred,250,Far Away,True
Volta Bureau,2874,1etbs,8,Dancing Astronaut,300,Alley Cat,True
Class Actress,2649,1e85t,43,Thought on Tracks,242,Weekend,True
Neon Indian,17070,1ddwn,97,Vocododo,266,Polish Girl,True
Eric Prydz,5898,1erev,5,One A Day,448,2Night (Original Mix),True
Zeds Dead,20129,1e2kk,32,Muros de Absenta,184,Coffee Break,True
The Rapture,3394,1epjs,18,Nashville Nights,388,How Deep Is Your Love (A-Trak Remix),True
Peter and Kerry,2484,1espa,5,New Music Collaborative,220,Knees,True
The Felice Brothers,57,1aajv,11,The Key,305,Ponzi,True
Ian McFeron,4,1bbds,1,Richmond Playlist,171,Good Morning (I'm Still Here),True
Tinie Tempah,3337,1bc3v,2,First up!,212,Till I'm Gone (Feat. Wiz Khalifa),True
Jason Isbell,4,1ba1n,1,Berkeley Place,288,Psycho Killer (Talking Heads),True
Jason Isbell & The 400 Unit,50,1atc2,4,ninebullets,229,Alabama Pines,True
Keegan DeWitt,269,1b7px,7,The Wounded Jukebox,270,Thunder Clatter,True
Anthony Da Costa,18,1b93s,1,Cover Lay Down,336,Boots of Spanish Leather (Bob Dylan Cover),True
Ian McFeron,8,1bbdx,1,Richmond Playlist,210,I'll Come Knockin',True
Keegan DeWitt,54,13smw,4,guerolitomusic,287,Hearts Beat Loud,True
Jason Isbell,6,1ba1p,1,Berkeley Place,367,Into the Mystic (Van Morrison),True
Chromeo,3246,1dfpn,27,Et Musique Pour Tous,231,When the Night Falls (feat. Solange Knowles) (Mayer Hawthorne Cover),True
"Nervo (Afrojack, Steve Aoki & Cheyenne Giles Edit)",5335,1dwf0,4,D SQUARED,436,We're All No One,True
Howard Iceberg & The Titanics,1,1csa5,1,ninebullets,206,The Wrestler,True
William Elliott Whitmore,5,1berf,1,captain's dead,277,what u do,True
Those Darlins,104,1aq2h,9,Rollo & Grady,220,Be Your Bro,True
The Devil Whale,76,19ad0,10,The Wheel's Still In Spin,224,9 Barracudas,True
The Devil Whale,40,1bptt,11,Tough Customer // Wire,228,Standing Stones,True
Dawes,165,10hkx,9,The Ruckus,246,When My Time Comes,True
The Moondoggies,20,18d25,7,Austin Town Hall,164,Track 01,True
Ratatat,7849,4t74,43,TheMusic.FM,266,Seventeen Years,True
Cage the Elephant,7860,16hr5,12,Richmond Playlist,212,Shake Me Down,True
Hoodie Allen,2951,1d7tj,5,The Jackplug,196,Song For An Actress,True
The Elected,57,1bbhp,7,Indie For Bunnies,232,Go For The Throat,True
Band of horses,388,bj2x,12,Draw Us Lines,189,the general specific,True
Okkervil River,22,1a8tr,3,Salad Days Music,206,Wake And Be Fine,True
Richard Buckner,4,1b90q,1,Hyperbolium,138,Traitor,True
Caitlin Rose,23,19mrn,3,My Old Kentucky Blog,198,Shanghai Cigarettes (LaundroMatinee.com session),True
William Elliott Whitmore,44,1bbvs,7,brooklynvegan,256,Everything Gets Gone,True
Keegan DeWitt,56,16s1w,3,guerolitomusic,298,Two Hearts (mp3),True
O'Death,775,18kgj,43,SUCKA PANTS,135,Bugs,True
Ian McFeron,7,1bbdw,1,Richmond Playlist,210,Comfort In The Bottle,True
Trampled By Turtles,1481,110ex,15,SUCKA PANTS,205,Wait So Long,True
Okkervil River,320,19p5w,32,Indie Rock Cafe,216,Wake and Be Fine,True
Drive-By Truckers,14,vjep,2,Bottom of the Glass,302,Lookout Mountain,True
Chairlift,8378,kabk,49,The New LoFi,242,Bruises,True
Galapaghost,3645,16nnm,16,the steely stylus,187,Never Heard Nothin',True
Kid Cudi,22605,1b9zx,13,Indie Shuffle,164,Falling Star (R3K Remix),True
Friendly Fires,11991,ma8d,124,EARMILK,464,Paris (feat. Au Revoir Simone) (Aeroplane Remix),True
My Morning Jacket,98,yj17,4,Football and Music,182,Blue Moon,True
Jolie Holland,63,1b7zm,14,This Is That Song,197,Gold and Yellow,True
Professor Green,1451,13ymc,2,Kick Kick Snare,288,Just Be Good To Green (Joker Vocal Remix),True
poka,1235,1410v,3,Delicieuse Musique,248,99 style,True
Fake Blood,3542,12nm7,19,Penned Madness,319,I Think I Like It (Tommie Sunshine & Figure EC$TACY edit),True
Phoenix,3294,v1wz,4,indie shuffle,174,1901 (acoustic),True
Oasis,1764,45qw,17,Popdose,290,Don't Look Back in Anger,True
Cassius,721,143rp,1,Why FuKK When You Can Dance,142, I 3 U So,True
WTF?! & dead prez,696,140t3,2,earmilk,336,It's Bigger Than Hip Hop (Sidney Samson Remix),True
Tim Gunter,3441,14146,1,musical pairings @ eating/sf,265,"Ghosts 'N Money feat. Deadmau5, Drake, Birdman and Lil Wayne",True
Gangstarr,2664,12mkz,1,Silence Nogood,178,Work,True
Oasis,4849,12kz0,8,Pigeons and Planes,248,Wonderwall (Questions Version),True
The Heavy,3839,xbmh,11,"Safety, Fun & Learning",217,How You Like Me Now?,True
D.veloped,16141,1g7c9,12,djnodj,206,Bring Em Home (Edward Sharpe // T.I.),True
Foster The People,4356,1agyw,6,the burning ear,218,Pumped Up Kicks (The Knocks Remix),True
Afrojack,7499,17pca,3,This Bonus Track,480,Replica (Daft Punk Vs. Yelle Vs. Katy Perry Vs. Bloc Party Vs. Major Lazer),True
Of Monsters And Men,26230,179kx,71,Meadow Music,246,Little Talks,True
Xaphoon Jones,12191,1ab7h,14,Oh My Rock,179,The Jackson Pit,True
Ratatat vs. Marvin Gaye,9216,1agk1,5,Cause=Time,206,Ain't No Drugs High Enough The Jane Doze mashup),True
Mark Ronson And The Business Intl,1870,15562,8,AWmusic,265,The Bike Song (feat. Kyle Falconer & Spank Rock),True
Lupe Fiasco,4999,1993j,10,Fuck yeah! Go team!,221,All Black Everything,True
Andre 3000 (Feat. Norah Jones),1510,121k0,1,Avenge the Virgins,157,Take off your cool,True
Shwayze,2241,121jz,2,Discobelle,237,Buzzin' (DJ Skeet Skeet & Cory Nitta Remix),True
The Flavour,2887,1b0e2,3,Schitz Popinov,176,Sex on Fire ( Reggae Cover ),True
Beach House,2735,17a3h,82,Chromewaves,209,I Do Not Care For The Winter Sun,True
Hoodie Allen,3645,18a02,7,The Smoking Section,197,Dreams Up,True
The Tallest Man On Earth,6743,z7wd,117,Star Maker Machine,206,King of Spain,True
Hidetake Takayama,992,17pn7,1,Hilly Dilly,340,Sunset Song,True
The White Panda,7729,1621k,7,Silence Nogood,172,Escape Day 'N' Nite (Kid Cudi // Tiesto),True
Ellie Goulding,22584,1753q,21,Silence Nogood,281,Your Song (Blackmill Dubstep Remix),True
The Black Keys,22261,10k0q,94,Indie Shuffle,210,Tighten Up,True
Skrillex,9477,176za,17,aerial noise,305,Cat Rats,True
Wait What,2698,14fp8,3,the burning ear,274,got urself an electric gun (nas vs mgmt & justice),True
Wait What,1246,14d3j,2,Sunset in the Rearview,211,i gotcha right moves (lupe fiasco vs. onerepublic),True
Kings of Convenience,3308,tgsm,20,Delicieuse Musique,221,Boat Behind,True
Drake & Coldplay,3337,12gbs,2,Cause=Time,391,"Forever La Vida (feat. Lil Wayne, Kanye West & Eminem)",True
Outkast,671,120m5,2,One A Day,359,Spottieottiedopaliscious,True
David Dallas,2266,11whf,7,JayeL Audio Music,202,Til Tomorrow,True
A-Trak,539,12138,1,First up!,220,O Let's Overdo It,True
Cee Lo Green,2472,12ewk,4,the burning ear,239,What Part Of Forever,True
The White Panda,5676,12bjt,10,Seattle in High Def,170,The Next Starf*cker (Snoop & Dre meet Starfucker),True
Eminem,7300,12gk7,7,AWmusic,264,Love the Way You Lie (Feat. Rihanna),True
Lupe Fiasco,1549,11fnw,1,Pigeons and Planes,260,Love Letter To The Beat,True
B.o.B,5394,11egv,7,Mixtape Maestro,219,Not Lost feat. T.I.,True
The Temper Trap,16442,11akb,30,J(am) of the Day,391,Sweet Disposition (RAC Mix),True
Crystal Castles,5038,11nnh,31,ACE,270,Vietnam (lightsoverla remix),True
K-Os,6127,r65a,13,Music For Kids Who Can't Read Good,190,I Wish I Knew Natalie Portman,True
DeVotchKa,4538,98wz,30,The Ruckus,420,How It Ends,True
Gang Starr,1433,11f9p,3,A Grumpy Old Man With A Beard,225,Above The Clouds,True
