artist,loved_count,mediaid,posted_count,sitename,time,title,loved
Zimmer,1972,2c369,11,umstrum||music,256,Heartbreak Reputation (feat. Polina),FALSE
Meek Mill,1437,2c3b0,1,House of Lords,199,R.I.C.O feat. Drake,FALSE
flor,2296,2c135,11,Indietronica,246,warm blood,FALSE
Atlas Genius,1801,2c0ff,6,Inthejunkyardmusic,249,Molecules,FALSE
Robyn,3729,2c3tm,5,acid stag,215,Call Your Girlfriend (Thero & Taylor Wise Remix) (Feat. Allison Weiss),FALSE
GIBBZmusic,1030,2c12f,15,CLICK AND LISTEN IT,211,I Found You,FALSE
KAPTAN,1695,2c05m,16,The Burning Ear,242,Anywhere We Go,FALSE
Oh Wonder,5698,2c48m,17,The New LoFi,208,Landslide,FALSE
Klyne,6135,2c09d,21,Oh My Rock,187,Paralyzed,TRUE
Dillon Francis,2752,2c2wx,6,Waxhole,193,Bruk Bruk (I Need Your Lovin),FALSE
The Knocks,13736,15sj5,41,SFCritic,239,Dancing With The Dj,TRUE
The Knocks,1942,2bamw,11,EDM Girl,327,Classic (Pat Lok Shymix),TRUE
PHFAT & Al Bairre,210,2c3hh,1,Indie Shuffle,211,Caviar Dreams,FALSE
pools,384,2a90h,3,Delicieuse Musique,129,☕ coffee in the morning ☕,FALSE
Toro y Moi,463,2c2fa,16,Noonday Tune,93,That Instead of This,FALSE
I'lls,685,2c1kb,15,ilovepie,246,Keep,FALSE
Doe Paoro,486,2b8vq,8,Northern Transmissions,246,The Wind (feat. Adam Rhodes),FALSE
Lawrence Taylor,3505,2bw9n,7,EUPHORIA. Magazine,184,Bang Bang,FALSE
One T & Cool T,904,2bxam,5,Silence Nogood,232,The Magic Key (LeMarquis & FAB Remix),FALSE
Amen Dunes,871,22ksd,47,Fuzzy Logic,319,Lonely Richard,FALSE
Tame Impala,4703,23383,54,Silence Nogood,274,Stranger In Moscow(( MJ cover)),TRUE
Crooked Colours,4364,2bt0t,7,Wonky Sensitive,229,Electric Feel (MGMT Cover),TRUE
ZEDD feat. Selena Gomez,1315,2bxcb,3,Music You Wanna Listen To,242,I Want You To Know (Steve James Remix),FALSE
Wolf Alice,2690,2asey,40,Turntable Kitchen,225,Bros,FALSE
Panda Bear,704,2c1g8,15,surviving the golden age,211,Crosswords (Pete Rock Remix),FALSE
Wavves X Cloud Nothings,299,2c321,12,Noonday Tune,200,No Life For Me,FALSE
Michael Calfan,1109,2c14y,6,Inyourspeakers Media,254,Mercy (Original Mix),FALSE
BAILE,1426,2c09y,9,CLICK AND LISTEN IT,296,Matter (feat. Felicia Douglass),FALSE
Robyn,1420,2c3ac,5,Music You Wanna Listen To,271,Dancing On My Own (Templeton Remix),TRUE
Toro y Moi,1099,2c1d3,23,acid stag,189,2Late feat. Kool A.D. and SAFE,TRUE
Ty Dolla $ign,1794,2c24a,11,Pitchfork,286,Blasé feat. Future & Rae Sremmurd,FALSE
FETTY WAP,1214,2c41v,8,Abouttoblow,263,D.A.M DATS ALL ME,TRUE
A$AP Rocky,3923,2c367,2,Dancing Astronaut,292,LSD (Shemce Remix),FALSE
Alesso,3312,2c389,4,stereogum,191,This Summer's Gonna Hurt Like A Mother F****r (Alesso Remix) (Radio Edit),TRUE
Tame Impala,961,2ahss,1,Indie Shuffle,243,Cause I'm A Man,FALSE
Black Rebel Motorcycle Club,2666,zjt7,34,Shelter From the Norm,226,Beat The Devil's Tattoo,FALSE
The Besnard Lakes,604,yqkf,110,scruffy the yak,282,Albatross,FALSE
RL Grime,3547,25hg1,14,buffaBLOG,237,Core,FALSE
Gallant,5944,2c3pf,28,Anotherwhiskyformisterbukowski,204,Weight In Gold,TRUE
Jack Garratt,4317,2c3mc,25,chillsoundsgoodmusic,225,Weathered,TRUE
Matrimony,2323,29gay,9,Audio Aquarium,260,Giant (Ghosts Remix),FALSE
Real Estate,1060,21rvk,38,Fuzzy Logic,192,Talking Backwards,TRUE
Natalie Prass,732,27cmn,24,The Swollen Fox,213,Why Don't You Believe In Me,FALSE
Father John Misty,1490,27msa,44,2 U I Bestow,262,Bored In The USA,TRUE
Hibou,2006,2bmqa,22,barrygruff,259,Dissolve,TRUE
Billy Bragg & Wilco,1093,30xf,27,Across The Kitchen Table,298,California Stars,TRUE
Blitzen Trapper,2888,k47r,64,scruffy the yak,209,Black River Killer,FALSE
Damien Jurado,2019,20jv6,38,The Swollen Fox,198,Silver Timothy,FALSE
Lana Del Rey,4425,2b5c3,3,Oh My Rock,277,Born To Die (Absence Remix),TRUE
Metric,2324,v55s,9,i (heart) music,187,Don't Think Twice It's Alright (Bob Dylan Cover),TRUE
Tame Impala,700,2atnn,4,barrygruff,247,Cause I'm a Man,FALSE
Unknown Mortal Orchestra,518,2aade,8,Cause=Time,192,Multi-Love (20syl Remix),FALSE
Sinkane,1891,24y1z,31,JayeL Audio Music,197,Hold Tight,FALSE
Unknown Mortal Orchestra,7944,29adb,84,umstrum||music,251,Multi-Love,FALSE
Temples,1441,20jvd,49,We All Want Someone To Shout For,222,Mesmerise,FALSE
Tame Impala,12229,2a1mf,87,The Swollen Fox,469,Let It Happen,FALSE
Unknown Mortal Orchestra,3887,2avcn,65,Too Many Blogs,257,Can't Keep Checking My Phone,FALSE
Blue Hawaii,1467,27ams,15,What Else Is There?,264,Get Happy,FALSE
Cheers Elephant,5361,2bfxf,10,EUPHORIA. Magazine,212,Airliner,TRUE
Major Lazer,10138,227j1,23,Maddecent,182,Aerosol Can (feat. Pharrell Williams),TRUE
The Knocks,21782,25xk6,27,SFCritic,249,Classic (feat. Powers),TRUE
Oliver,8614,26gx7,13,JayeL Audio Music,344,Light Years Away,FALSE
Chet Faker,2614,2bwyg,22,HEY,206,Bend,FALSE
Skylar Spence,1316,2bwjt,27,Felinno,246,Can't You See,FALSE
Toro y Moi,1368,2btxp,8,acid stag,145,room for 1zone,FALSE
Cayucas,744,2b1kk,27,Indie is not a genre,218,Moony Eyed Walrus,TRUE
Ducktails,1372,2b5et,30,newmusic.cz,214,Headbanging In The Mirror,TRUE
Lapalux,3549,29q40,25,music is art,349,Don't Mean A Thing,FALSE
Vaults,1538,27nrm,12,Little Indie Blogs,204,Poison,FALSE
Toro Y Moi,1801,28ykp,43,KEXP Blog,222,Empty Nesters,FALSE
ON AN ON,1463,2bnef,8,The Burning Ear,227,It's Not Over (The Twelves Remix),FALSE
Lower Dens,1994,1hcvp,132,MUSIC BETWEEN FRIENDS,302,Brains,FALSE
The Knocks,6766,1t7dh,7,aerial noise,276,The Feeling (Dave Edwards Remix),FALSE
K-Os,6058,r65a,13,Music For Kids Who Can't Read Good,190,I Wish I Knew Natalie Portman,TRUE
The Knocks,4731,29s5a,19,JayeL Audio Music,250,Dancing With Myself,FALSE
The Knocks,3975,2aews,10,JayeL Audio Music,197,Collect My Love feat. Alex Newell,FALSE
The Knocks,8641,2654z,11,Site of Sound,262,Classic (RAC Mix),TRUE
Santigold,1242,trz4,5,Et Musique Pour Tous,112,I'm a Lady (Benny Blanco Remix),FALSE
HONNE,1993,2b5tf,14,Musicgeeks,272,Top To Toe,FALSE
The Knocks,6380,1696z,20,Berkeley Place,219,Dancing With The DJ (Chiddy Bang Remix),FALSE
Flume,10604,2bk4b,20,Stereofox,264,Some Minds feat. Andrew Wyatt,FALSE
Flight Facilities,6137,2bzvm,10,NNM,199,Heart Attack feat. Owl Eyes (Snakehips Remix),FALSE
Major Lazer,8997,2bzkc,2,Never Radio,194,Too Original (KREAM Remix),FALSE
Aayushi & Dillistone,5645,2bz99,6,Musicgeeks,237,Diamond Child,FALSE
POWERS,9067,2ba6t,31,blahblahblahscience,205,Beat Of My Drum,FALSE
Blackbear,6281,2b9ng,6,Stoney Roads,278,90210 feat. G-Eazy (Matt DiMona Remix),FALSE
filous,11555,2bd2b,10,My Old Kentucky Blog,198,How Hard I Try feat. James Hersey,FALSE
L'Orange & Jeremiah Jae,4530,2ax54,9,Lautstark,171,All I Need (feat. Gift Of Gab),FALSE
kiiara,11727,2bxjv,18,said the gramophone,226,Gold,FALSE
Soma,291,2c2et,5,Different Kitchen,198,Uncertain,FALSE
Miguel,15868,228mk,23,Site of Sound,205,Simplethings,TRUE
Rudimental,14952,21hnn,6,EARMILK,305,Free (Cash Cash X Gazzo Remix),FALSE
EMBRZ,9428,1y3jj,12,nialler9,284,Slow Down,FALSE
Wale,5818,t8q4,7,The Music Ninja,211,New Soul Feat. Yael Naim,FALSE
TEEMID & Daniela Andrade,9479,226ye,8,I Heart Moosiq,263,Crave You (Flight Facilities Cover),TRUE
•◊ Hopium ◊•,3795,2b5pr,9,Stereofox,218,Right Now,FALSE
The Chainsmokers,5152,2b9jx,6,EDM Girl,253,Let You Go (Steve James Remix),FALSE
"Astronauts, etc.",3786,2b54c,22,Indie For Bunnies,230,No Justice,FALSE
OutKast,5012,2b6yd,3,Your Music Radar,194,Roses (PLS&TY Remix),TRUE
Janet Jackson,908,2bzsd,10,Secret Delivery,206,No Sleeep,FALSE
The Drums,396,265r5,2,KEXP Blog,290,I Can't Pretend,FALSE
American Authors,13832,229ha,8,I Heart Moosiq,292,Best Day Of My Life (Just A Gent Remix),FALSE
Astrid S,5121,2b9zs,3,JayeL Audio Music,235,2AM (Matoma Remix),FALSE
BebeRexha,2215,28h1t,4,Electric Panda Music,208,I'm Gonna Show You Crazy,FALSE
Ishinohana,3162,2aybj,8,Electrocorp ,317,Lucía (John Talabot's Sunset edit),FALSE
Oh Wonder,3771,2b8z0,10,gottadancedirty,263,Midnight Moon (Melvv Remix),FALSE
Sia,7158,2bbc8,3,Your Music Radar,216,California Dreamin,TRUE
TroyBoi,2843,2ba6s,2,Indie Shuffle,201,Do You feat. Armani White (Remix),FALSE
diplo,8178,2baq6,18,Never Radio,285,Bitch Better Have My Money (Diplo & Grandtheft Remix)OFFICIAL,FALSE
Tove Lo,6349,2b92r,4,JayeL Audio Music,278,Talking Body (Jax Jones Remix),FALSE
Gigamesh,5329,2b9xa,9,The Jackplug,291,The Music,FALSE
Years and Years,5799,2b8xm,28,Getintothis,254,Shine,FALSE
Lemon.,715,2c063,4,"Quick, Before It Melts.",165,Better For You,FALSE
Moullinex,796,2c03e,7,Y Este Finde Que,370,Take A Chance (Satin Jackets Remix),FALSE
Courtney Barnett,493,29w6h,4,said the gramophone,293,Depreston,TRUE
Tuxedo,415,2c1r6,6,The French Shuffle,238,Without Your Love,FALSE
Dusky,495,2bznk,6,Mixmag,384,Skin Deep,TRUE
Mammút,143,229wz,14,MusikBlog,345,Salt,FALSE
Monster Rally,316,247x6,2,music islands,219,Chin-don-ya,TRUE
Kelis,792,23px8,10,Indie Shuffle,315,'Runnin' (Machinedrum Remix),FALSE
Wiz Khalifa Feat. Charlie Puth,5360,2azcr,5,EDM Girl,223,See You Again (Ale Mora Remix),FALSE
ALESSIA,11457,2b0gs,21,J(am) of the Day,200,HERE,FALSE
The Roots,4073,1f5yf,37,AudioCred,272,Make My,TRUE
LIPS,6403,1ffe4,10,EARMILK,244,Everything To Me (Adventure Club Dubstep Remix),TRUE
In The Valley Below,4128,1rmtg,5,Indie Shuffle,287,Peaches,TRUE
Ratatat,7808,4t74,43,TheMusic.FM,266,Seventeen Years,TRUE
poka,1235,1410v,3,Delicieuse Musique,248,99 style,TRUE
The Knocks,775,skyq,10,Cities of the Plain,279,Can't Shake Your Love,FALSE
Trampled By Turtles,1476,110ex,15,SUCKA PANTS,205,Wait So Long,TRUE
Oasis,1763,45qw,17,Popdose,290,Don't Look Back in Anger,TRUE
French Montana,665,2c10q,5,Discobelle,229,Gucci Mane (feat. Lil Wayne & Rick Ross) (prod. by Kanye West),TRUE
Harrison Brome,2310,2bq1c,10,Indie Underground,218,Fill Your Brains (Master),FALSE
Chance The Rapper,1207,296pt,2,Inyourspeakers Media,225,Sunday Candy Feat. The Social Experiment,FALSE
Iron & Wine and Ben Bridwell,2423,2bzr3,18,Revista Metrónomo,213,This Must Be The Place (Naive Melody),FALSE
BECOME X Elohim,2052,2c0y2,13,acid stag,160,She Talks Too Much,FALSE
COMPNY,1565,2bzm1,25,Little Indie Blogs,233,Gently Let You Down,TRUE
Years & Years,4084,2c221,4,POP ON AND ON,240,King (Lash Remix),FALSE
Little Giants,4678,2c228,5,Lipstick Disco,320,"Lately (Love, Love, Love) (Monsieur Adi Remix)",FALSE
Favored Nations,2008,2by5n,6,Wonky Sensitive,211,Always,FALSE
Fatima,355,24te4,1,Don't Need No Melody,325,Biggest Joke Of All,FALSE
SZA feat. Chance The Rapper,7013,23c5d,42,The 405,216,Childs Play,FALSE
Addal feat. Lisa May,3152,2c08j,5,Beautiful Buzzz,325,Morning In Love (Original Mix),FALSE
Will Joseph Cook,2255,2c0vf,22,Beat2aChord,177,Beach,FALSE
Shura,966,2bzty,10,DIY,443,White Light (Gabe Gurnsey Factory Floor Remix),FALSE
Kendrick Lamar,6377,2c2a8,3,Music You Wanna Listen To,204,i (Carneyval & INSTRUM Remix),FALSE
The Weeknd,2452,2c298,2,Caveman Sound,300,Can't Feel My Face (Keljet Edit),FALSE
"Kehlani, G-Eazy, IAMSU! and Lil B",2205,2bzxz,6,The Passion of the Weiss,235,Champion (Prod. by P-Lo),TRUE
Lewis Del Mar,6697,2c0xq,13,Sonofmarketing,249,Loud(y),FALSE
The Internet Music,3556,2c0ae,17,alltomorrowmusic,416,Girl feat. KAYTRANADA,TRUE
Saint Motel,2741,2c15e,8,Audio Aquarium,280,My Type (Eau Claire Remix),FALSE
RÜFÜS / RÜFÜS DU SOL,6536,2c1vt,14,Audio Drums,239,You Were Right,TRUE
Little Giants,8122,2aynk,10,Abduction Radiation,212,"Lately (Love, Love, Love)",FALSE
Discovery,3643,sqpk,40,Indieball,193,So Insane,FALSE
"Drake Feat. Kanye West, Lil Wayne & Eminem",2418,v81m,8,Citizen Insane,359,Forever,TRUE
Röyksopp,4965,27mzc,10,music is art,396,Thank You,FALSE
Mitski,138,26mqp,13,Music Broke My Bones,205,Townie,TRUE
Sea Oleena,997,25z92,32,Just Music That I Like,311,If I'm,FALSE
Otis Redding,399,26eye,1,Yaqui,232,Sittin On The Dock Of The Bay (TEEMID Edit),TRUE
Ratatat vs. Marvin Gaye,8067,1agk1,4,EARMILK,206,Ain't No Drugs High Enough The Jane Doze mashup),TRUE
Daft Punk,1616,smtq,6,earmilk,322,Face to Face (Night Drugs Rework),FALSE
Kid Cudi,22539,1b9zx,13,Indie Shuffle,164,Falling Star (R3K Remix),TRUE
Beirut,6201,6fnn,78,Stereofox,257,Postcards From Italy,TRUE
The Pharcyde,15218,205k2,19,Lautstark,290,Runnin' (Bit Funk Remix),TRUE
Crooked Colours,2848,204z0,16,music is art,215,Come Down,TRUE
UGK,2581,11f4z,23,The Music Ninja,257,Int'l Players Anthem (Feat. OutKast),TRUE
Florence & The Machine,4749,27170,9,EDM Girl,263,You've Got The Love (Prince Fox Remix),FALSE
Fake Blood,3542,12nm7,19,Penned Madness,319,I Think I Like It (Tommie Sunshine & Figure EC$TACY edit),TRUE
Skrillex,9475,176za,17,aerial noise,305,Cat Rats,TRUE
Clean Bandit & Jess Glynne,7273,26xhz,14,JayeL Audio Music,219,Real Love,FALSE
Jaymes Young,6180,26x11,8,Ladywood ,250,I'll Be Good,FALSE
Frankie Cosmos,187,22ky1,2,"Song, by Toad",93,My I Love You,FALSE
HAERTS,2326,26by0,31,Indie Obsessive,258,Giving Up,FALSE
Run The Jewels,4203,26khp,47,Too Much Love Magazine ,214,Oh My Darling Don't Cry,FALSE
Bombay Bicycle Club,4826,21kgk,29,SFCritic,191,Luna,FALSE
Tanya Tagaq,154,24s65,12,Chicago Reader,169,Uja,FALSE
Steve Gunn,346,25e7m,14,Earbuddy,334,Milly's Garden,FALSE
Starfoxxx,684,2651y,3,Electric Panda Music,309,Bae HD,FALSE
Careful,244,1n80b,7,KEXP Blog,178,It's Funny,FALSE
Aphex Twin,1077,26dqh,42,Wondering Sound,288,minipops 67 (120.2)(source Field Mix),FALSE
Chester French,1502,td31,11,the burning ear,354,She Loves Everybody (Pance Party Remix),FALSE
Public Enemy,3782,tjvw,4,The Music Ninja,287,He Got Game,FALSE
Sean Nicholas Savage,321,22m21,11,Dots & Dashes,226,Naturally,FALSE
Maiday,5310,285hh,10,The 405,218,Wish You'd Met Me First,FALSE
Allo Darlin',488,260dr,21,Berkeley Place,172,Romance And Adventure,FALSE
Baauer,12526,27ehz,28,Pilerats,215,One Touch feat. AlunaGeorge & Rae Sremmurd,FALSE
Miguel feat. Wale,13442,239bn,8,Guilty Feet Have Got No Rhythm,314,Bennie and the Jets,TRUE
Cage the Elephant,7853,16hr5,12,Richmond Playlist,212,Shake Me Down,TRUE
Jay-Z & Beanie Sigel,2592,rhs4,5,djnodj,229,Glock Nines (Ratatat Remix),FALSE
Whilk and Misky,16120,27qph,12,Inyourspeakers Media,318,Babe I'm Yours,FALSE
Kanye West vs. Sam Smith,14241,27x6p,11,Wake the Deaf,266,Tell Me I'm The Only One (Carlos Serrano Mix),FALSE
Electric Wire Hustle,6169,w4d2,26,Beaver on the Beats,269,They Don't Want,TRUE
The Drums,2535,1e7j4,5,The Digital Outhouse,269,Days,TRUE
Lupe Fiasco,4997,1993j,10,Fuck yeah! Go team!,221,All Black Everything,TRUE
Beach House,2734,17a3h,82,Chromewaves,209,I Do Not Care For The Winter Sun,TRUE
The Flaming Lips,399,emqs,10,JP's Blog,399,Bohemian Rhapsody (Queen Cover),FALSE
Florence + The Machine,37992,wm2h,154,djnodj,344,You've Got The Love (The XX Remix),TRUE
Chairlift,8374,kabk,49,The New LoFi,242,Bruises,TRUE
The Heavy,3832,xbmh,11,"Safety, Fun & Learning",217,How You Like Me Now?,TRUE
The Flavour,2886,1b0e2,3,Schitz Popinov,176,Sex on Fire ( Reggae Cover ),TRUE
Foster The People,4356,1agyw,6,the burning ear,218,Pumped Up Kicks (The Knocks Remix),TRUE
Jaymes Young,2727,26txn,5,Sunset in the Rearview,221,What Should I Do,FALSE
Cold War Kids,21074,26a2r,21,Never Radio,201,First,FALSE
Kings of Convenience,5197,tqc7,17,Et Musique Pour Tous,258,I Don't Know What I Can Save You From (Röyksopp Remix),TRUE
Ludacris vs Ke$ha,1929,112sm,2,20 Watts,204,$hwagger Jagger (Pres Mashup),TRUE
Joey Bada$$,5729,26vk9,16,Pilerats,237,Get Paid,FALSE
Mating Ritual,5493,26ngg,19,Audio Drums,188,Toxins,FALSE
T.I.,4833,26tj0,10,Different Kitchen,206,No Mediocre feat. Iggy Azalea (Grandtheft Remix),FALSE
TULA home,6573,26vjs,10,grinzao,226,Wicked Game,FALSE
Lupe Fiasco,2385,zk4s,6,Dipped in Dollars,240,What U Want,TRUE
Otis Redding,4109,8fyp,15,THE VINYL VILLAIN,162,(Sittin' On) The Dock Of The Bay,TRUE
Of Montreal,2462,ec8e,21,Music From Go to Whoa,231,Jimmy,FALSE
Vampire Weekend,12814,q66h,28,Sunset in the Rearview,294,The Kids Don't Stand A Chance,FALSE
Goldroom,1006,23tcs,3,Poetry in an Empty Coke Can,279,Embrace (backstroke. Remix),FALSE
TĀLĀ,1564,26t41,40,Stamp The Wax,201,Alchemy,FALSE
The Knocks,2056,26n5b,5,JayeL Audio Music,297,Classic (DiscoTech Remix) - Big Beat,FALSE
Kings Of Convenience,2248,63cw,14,Indie Shuffle,235,Know How (featuring Feist),FALSE
HAERTS,3026,20cjh,25,Cougar Microbes,320,Wings (Shlohmo Remix),FALSE
Aphex Twin,2012,26qkp,3,said the gramophone,322,Aisatsana,FALSE
GoldLink,1516,23hn5,7,Silence Nogood,164,Bedtime Story (Prod. Louie Lastic),FALSE
Justice,927,vc74,8,Vacay Wave,318,We Are Your Friends (Barretso Remix),TRUE
Thrupence,2026,26w7s,23,Deftune,248,Silk,FALSE
Yellerkin,2362,26rsp,33,Operation Every Band,261,Tools,FALSE
FOYNES(nicholas basquiat),2131,26tvt,4,I Heart Moosiq,215,Protect (Feat. Antony & Cleopatera) (Foynes Remix),FALSE
YOUNG & SICK,2320,26vkp,10,Salacious Sound,282,Breathe (Télépopmusik Cover),FALSE
kp.,2411,26px0,9,I Heart Moosiq,241,where did you go,FALSE
ODESZA,8395,26t7k,11,acid stag,198,Say My Name (feat. Zyra) (cln Remix),FALSE
Dirty South,2328,26tye,7,Dancing Astronaut,274,Unbreakable (Elephante Remix),FALSE
alt-J,15821,261f8,57,The Devil Has The Best Tuna,216,Every Other Freckle,FALSE
Felix Jaehn feat. Chris Meid,4900,26tvp,11,JayeL Audio Music,248,One Last Time Remix,FALSE
Lorde,6155,26wg0,4,Earbuddy,233,Yellow Flicker Beat,FALSE
RAC,4166,26mpj,9,Chubby Beavers,265,Cheap Sunglasses feat. Matthew Koma (Two Friends Remix),FALSE
Blur,1988,tet1,4,indie shuffle,319,Song 2 (Vengeance Remix),TRUE
Flying Lotus,1283,j17x,9,Sunset in the Rearview,186,Robo Tussin feat. Lil Wayne.aif 15.41.55PM,TRUE
Okkervil River,22,1a8tr,3,Salad Days Music,206,Wake And Be Fine,TRUE
The Felice Brothers,57,1aajv,11,The Key,305,Ponzi,TRUE
Violent Femmes,2616,1faj,34,THE VINYL VILLAIN,145,Blister in the Sun,FALSE
Generationals,6335,sk35,59,Austin Town Hall,200,"When They Fight, They Fight",FALSE
Phoenix,13698,qp90,139,Ca Va Cool,198,1901,TRUE
Kid Cudi,15386,vhfh,30,The New LoFi,295,Pursuit of Happiness (Feat. MGMT And Ratatat),TRUE
TOURIST,15736,22ejp,41,REDEFINE magazine,271,I Can't Keep Up (feat. Will Heard),FALSE
Porter Robinson,7438,236gd,23,JayeL Audio Music,368,Sea Of Voices (RAC Mix),FALSE
Lykke Li,13483,2374v,45,Cougar Microbes,221,No Rest For The Wicked,FALSE
D.veloped,16128,1g7c9,12,djnodj,206,Bring Em Home (Edward Sharpe // T.I.),TRUE
THE NIGHT VI,3983,236d7,44,DrunkenWerewolf,225,Sienna,FALSE
London Grammar,4795,23781,34,Twee Huizen Verder,346,Hey Now (Bonobo Remix),FALSE
Haim,3812,236m2,15,the burning ear,359,If I Could Change Your Mind (The Knocks Remix),FALSE
SAFIA,9707,236kx,28,Site of Sound,266,"Paranoia, Ghosts & Other Sounds",FALSE
D.VELOPED,6327,1f3cm,5,Sunset in the Rearview,261,My Dangerously Melodic Anthem,FALSE
EMBRZ,9753,1z1vr,14,nialler9,322,Make Your Way,FALSE
Solid Gold,630,mrhv,10,Both Sides of the Mouth,258,Who You Gonna Run To?,TRUE
Young Jeezy,1649,1fz16,8,AudioCred,312,I Do (Featuring Jay-Z & Andre 3000 ) (No Tags),TRUE
Phoenix,2097,s486,27,The Indie Music Database,242,Lisztomania,FALSE
Two Door Cinema Club,1317,r4gh,12,The Pop Cop,167,"Hands Off My Cash, Monty",FALSE
The Verve Vs. Jay-Z,8575,w7mw,12,A Pocket Full Of Seeds,304,Brush Your Bitter Sweet Shoulders Off,FALSE
James Bay,16979,23wf2,23,Spectrum Culture,261,Let It Go,FALSE
Jurassic 5,7392,24jdj,5,Musikfar,229,The Way We Do It,FALSE
Passion Pit,2316,rtw7,7,melophobe,212,Let Your Love Grow Tall,FALSE
Röyksopp,3080,pdpr,28,JP's Blog,163,Happy Up Here,FALSE
Saint Etienne,1617,1kze6,4,Vacay Wave,389,I've Got Your Music (Golden Filter Remix),FALSE
Thomas Jack,7295,205r0,10,Stoney Roads,539,Symphony (Original Mix),FALSE
SkizTheRapper,693,1gght,7,The Jackplug,215,Shangri-La,TRUE
Madeon,3425,1f545,1,blahblahblahscience,104,Icarus,TRUE
Santogold,3678,j6kn,33,the culture of me,160,I'm A Lady (Diplo Mix Ft Amanda Blank),FALSE
thvn,1893,234rw,6,Sirens of Decay,230,toxic,FALSE
Zeds Dead & Omar LinX,2361,1m1bd,9,White Folks Get Crunk,284,NO PRAYERS (KEYS N KRATES RMX),TRUE
The War On Drugs,12642,20xm4,139,Inyourspeakers Media,299,Red Eyes,FALSE
Jaymes Young,18783,238f5,21,JayeL Audio Music,214,Habits Of My Heart (Sufjan Stevens Remake),FALSE
JUNGLE,6508,22m26,70,Abeano Music,180,Busy Earnin',FALSE
Ben Khan,4085,237kw,55,When The Gramophone Rings,198,Youth,FALSE
Zella Day,3451,236fk,32,West Coast Fix,222,1965,FALSE
"Steve Aoki, Diplo & Deorro",4267,236tz,6,Dancing Astronaut,281,Freak (feat. Steve Bays),FALSE
